,Loss,IoU
0,0.2552663421630859,0.61848110049963
1,0.08336660504341126,0.8467211639881134
2,0.06649943709373474,0.8757159304618836
3,0.058611233234405515,0.8894717431068421
4,0.05377112627029419,0.8982614827156067
5,0.04807156443595886,0.908439040184021
6,0.048077362775802615,0.9084879398345947
7,0.04737061619758606,0.9097226393222809
8,0.05118664741516113,0.9029054653644562
9,0.051790442466735837,0.9016856622695922
10,0.05147484064102173,0.9023661732673645
11,0.049339350461959836,0.9061846351623535
12,0.04655054211616516,0.9112202250957488
13,0.044036644697189334,0.91578577876091
14,0.04275482654571533,0.918226089477539
15,0.04190884232521057,0.9197059571743011
16,0.04167501449584961,0.9201261556148529
17,0.041407591104507445,0.920602731704712
18,0.040558968782424924,0.9221749758720398
19,0.04237512230873108,0.9188421976566314
20,0.04428612232208252,0.915427896976471
21,0.04866456151008606,0.9073804593086243
22,0.041746466159820556,0.92000825881958
23,0.041455700397491455,0.9205113661289215
24,0.04249997615814209,0.9185877275466919
25,0.041153578758239745,0.9211068296432495
26,0.03945018410682678,0.9242899441719055
27,0.03995105504989624,0.9232939827442169
28,0.038930283784866335,0.9252330958843231
29,0.03859094381332397,0.9258150637149811
30,0.03927633047103882,0.9245286726951599
31,0.037723113298416135,0.9274983143806458
32,0.046445831060409545,0.9116739201545715
33,0.044614660739898684,0.914778059720993
34,0.042248167991638184,0.9191208434104919
35,0.03903716802597046,0.9250163757801055
36,0.0388977575302124,0.9252357757091523
37,0.03824247717857361,0.9264458215236664
38,0.0379981279373169,0.926888724565506
39,0.03769718050956726,0.9274318301677704
40,0.03856827974319458,0.9258732724189759
41,0.037545294761657716,0.9278047490119934
42,0.037967689037323,0.9269575989246368
43,0.03851603150367737,0.9259983956813812
44,0.04121870517730713,0.9209798657894135
45,0.03895326614379883,0.9251636254787445
46,0.039114009141922,0.9248661017417907
47,0.036844109296798704,0.9290237522125244
48,0.03680116534233093,0.9291234076023102
49,0.03653715491294861,0.9296025633811951
50,0.03675834536552429,0.929218407869339
51,0.03673936128616333,0.9292372584342956
52,0.03655884265899658,0.9295619356632233
53,0.037164306640625,0.9284713518619537
54,0.03788849115371704,0.9271827852725982
55,0.037206922769546506,0.9283976757526398
56,0.036422542333602904,0.9298942065238953
57,0.03670035243034363,0.9293076717853546
58,0.03580408215522766,0.9309909582138062
59,0.03628254055976868,0.9301244568824768
